strain	date	country	region	host	accession	isolates	authors
R-Oct-20-300-1_MZ670783_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670783	R-Oct-20-300-1	Osundahunsi et al.
R-Sep-20-1000-1_MZ670784_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670784	R-Sep-20-1000-1	Osundahunsi et al.
R-Oct-20-1000-1_MZ670785_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670785	R-Oct-20-1000-1	Osundahunsi et al.
R-Sep-20-1000-2_MZ670786_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670786	R-Sep-20-1000-2	Osundahunsi et al.
R-Sep-20-1000-3_MZ670787_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670787	R-Sep-20-1000-3	Osundahunsi et al.
R-Aug-20-300-1_MZ670788_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670788	R-Aug-20-300-1	Osundahunsi et al.
R-Aug-20-300-2_MZ670789_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670789	R-Aug-20-300-2	Osundahunsi et al.
R-Aug-20-300-3_MZ670790_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670790	R-Aug-20-300-3	Osundahunsi et al.
R-Oct-20-500-2_MZ670791_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670791	R-Oct-20-500-2	Osundahunsi et al.
R-Aug-20-500-1_MZ670792_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670792	R-Aug-20-500-1	Osundahunsi et al.
R-Aug-20-500-2_MZ670793_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670793	R-Aug-20-500-2	Osundahunsi et al.
R-Sep-20-300-1_MZ670794_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670794	R-Sep-20-300-1	Osundahunsi et al.
R-Sep-20-300-2_MZ670795_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670795	R-Sep-20-300-2	Osundahunsi et al.
R-Sep-20-500-1_MZ670796_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670796	R-Sep-20-500-1	Osundahunsi et al.
R-Sep-20-500-2_MZ670797_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670797	R-Sep-20-500-2	Osundahunsi et al.
R-Sep-20-500-3_MZ670798_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670798	R-Sep-20-500-3	Osundahunsi et al.
R-Sep-20-1000-7_MZ670799_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670799	R-Sep-20-1000-7	Osundahunsi et al.
R-Sep-20-1000-8_MZ670800_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670800	R-Sep-20-1000-8	Osundahunsi et al.
R-Oct-20-300-3_MZ670801_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670801	R-Oct-20-300-3	Osundahunsi et al.
R-Oct-20-300-4_MZ670802_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670802	R-Oct-20-300-4	Osundahunsi et al.
R-Oct-20-1000-2_MZ670803_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670803	R-Oct-20-1000-2	Osundahunsi et al.
R-Oct-20-1000-3_MZ670804_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670804	R-Oct-20-1000-3	Osundahunsi et al.
R-Oct-20-500-3_MZ670805_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670805	R-Oct-20-500-3	Osundahunsi et al.
R-Oct-20-500-4_MZ670806_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670806	R-Oct-20-500-4	Osundahunsi et al.
F-May-20-500-1_MZ670807_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670807	F-May-20-500-1	Osundahunsi et al.
F-May-20-300-1_MZ670808_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670808	F-May-20-300-1	Osundahunsi et al.
F-May-20-500-2_MZ670809_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670809	F-May-20-500-2	Osundahunsi et al.
F-Apr-20-1000-1_MZ670810_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670810	F-Apr-20-1000-1	Osundahunsi et al.
F-Apr-20-1000-2_MZ670811_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670811	F-Apr-20-1000-2	Osundahunsi et al.
F-May-20-300-2_MZ670812_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670812	F-May-20-300-2	Osundahunsi et al.
F-May-20-300-3_MZ670813_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670813	F-May-20-300-3	Osundahunsi et al.
F-Apr-20-1000-3_MZ670814_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670814	F-Apr-20-1000-3	Osundahunsi et al.
F-Apr-20-1000-4_MZ670815_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670815	F-Apr-20-1000-4	Osundahunsi et al.
R-Nov-17-YB2_MZ670816_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670816	R-Nov-17-YB2	Osundahunsi et al.
R-Nov-17-YB3_MZ670817_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670817	R-Nov-17-YB3	Osundahunsi et al.
R-Nov-17-YB4_MZ670818_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670818	R-Nov-17-YB4	Osundahunsi et al.
R-Nov-17-YB6_MZ670819_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670819	R-Nov-17-YB6	Osundahunsi et al.
R-Nov-17-YB7_MZ670820_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670820	R-Nov-17-YB7	Osundahunsi et al.
R-Nov-17-YB8_MZ670821_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670821	R-Nov-17-YB8	Osundahunsi et al.
R-Nov-17-YB9_MZ670822_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670822	R-Nov-17-YB9	Osundahunsi et al.
R-Nov-17-YB10_MZ670823_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670823	R-Nov-17-YB10	Osundahunsi et al.
R-Nov-17-YB11_MZ670824_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670824	R-Nov-17-YB11	Osundahunsi et al.
R-Nov-17-YB12_MZ670825_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670825	R-Nov-17-YB12	Osundahunsi et al.
R-Nov-17-YB13_MZ670826_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670826	R-Nov-17-YB13	Osundahunsi et al.
R-Nov-17-YB14_MZ670827_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670827	R-Nov-17-YB14	Osundahunsi et al.
R-Nov-17-YB16_MZ670828_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670828	R-Nov-17-YB16	Osundahunsi et al.
R-Nov-17-YB18_MZ670829_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670829	R-Nov-17-YB18	Osundahunsi et al.
R-Nov-17-YB19_MZ670830_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670830	R-Nov-17-YB19	Osundahunsi et al.
R-Nov-17-YB20_MZ670831_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670831	R-Nov-17-YB20	Osundahunsi et al.
R-Nov-17-YB21_MZ670832_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-11-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670832	R-Nov-17-YB21	Osundahunsi et al.
F-Apr-18-5-M3_MZ670833_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-06	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670833	F-Apr-18-5-M3	Osundahunsi et al.
F-Apr-18-5-L3-1_MZ670834_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-04-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670834	F-Apr-18-5-L3-1	Osundahunsi et al.
F-Apr-18-5-L1-1_MZ670835_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-04-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670835	F-Apr-18-5-L1-1	Osundahunsi et al.
F-Apr-18-5-L3-2_MZ670836_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-04-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670836	F-Apr-18-5-L3-2	Osundahunsi et al.
F-Apr-18-5-L3-3_MZ670837_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-04-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670837	F-Apr-18-5-L3-3	Osundahunsi et al.
F-Apr-18-5-L1-2_MZ670838_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-04-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670838	F-Apr-18-5-L1-2	Osundahunsi et al.
F-Apr-18-5-2_MZ670839_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-04-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670839	F-Apr-18-5-2	Osundahunsi et al.
F-Apr-18-5-L1-3_MZ670840_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-04-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670840	F-Apr-18-5-L1-3	Osundahunsi et al.
F-Apr-18-5-M1_MZ670841_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-04-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670841	F-Apr-18-5-M1	Osundahunsi et al.
F-Apr-19-50-S21_MZ670842_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-04-07	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670842	F-Apr-19-50-S21	Osundahunsi et al.
F-Apr-19-50-S4_MZ670843_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-04-07	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670843	F-Apr-19-50-S4	Osundahunsi et al.
F-Apr-19-50-S5_MZ670844_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-04-07	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670844	F-Apr-19-50-S5	Osundahunsi et al.
F-Apr-19-50-S3_MZ670845_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-04-07	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670845	F-Apr-19-50-S3	Osundahunsi et al.
F-May-20-2-X1D_MZ670846_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-05-13	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670846	F-May-20-2-X1D	Osundahunsi et al.
F-May-20-2-X1B_MZ670847_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-05-13	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670847	F-May-20-2-X1B	Osundahunsi et al.
F-May-20-2-X2B_MZ670848_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-05-13	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670848	F-May-20-2-X2B	Osundahunsi et al.
F-May-20-2-X3C_MZ670849_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-05-13	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670849	F-May-20-2-X3C	Osundahunsi et al.
R-Dec-16-pT2-1_MZ670850_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-12-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670850	R-Dec-16-pT2-1	Osundahunsi et al.
R-Dec-16-pT2-2_MZ670851_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-12-14	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670851	R-Dec-16-pT2-2	Osundahunsi et al.
R-Jan-17-pT2-1_MZ670852_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-01-22	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670852	R-Jan-17-pT2-1	Osundahunsi et al.
R-Jan-17-pT1-1_MZ670853_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-01-22	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670853	R-Jan-17-pT1-1	Osundahunsi et al.
R-Feb-17-pT1-1_MZ670854_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-02-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670854	R-Feb-17-pT1-1	Osundahunsi et al.
R-Feb-17-pT3-1_MZ670855_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-02-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670855	R-Feb-17-pT3-1	Osundahunsi et al.
R-Feb-17-pT1-2_MZ670856_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-02-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670856	R-Feb-17-pT1-2	Osundahunsi et al.
R-Feb-17-pT3-2_MZ670857_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-02-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670857	R-Feb-17-pT3-2	Osundahunsi et al.
R-Feb-17-m1-1_MZ670858_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-02-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670858	R-Feb-17-m1-1	Osundahunsi et al.
R-Feb-17-m1-2_MZ670859_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-02-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670859	R-Feb-17-m1-2	Osundahunsi et al.
R-Feb-17-m1-3_MZ670860_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-02-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670860	R-Feb-17-m1-3	Osundahunsi et al.
R-Feb-17-m1-4_MZ670861_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-02-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670861	R-Feb-17-m1-4	Osundahunsi et al.
R-Mar-17-pT2-1_MZ670862_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-03-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670862	R-Mar-17-pT2-1	Osundahunsi et al.
R-Mar-17-pT2-2_MZ670863_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-03-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670863	R-Mar-17-pT2-2	Osundahunsi et al.
R-Mar-17-pT2-3_MZ670864_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-03-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670864	R-Mar-17-pT2-3	Osundahunsi et al.
R-Mar-17-pT3-1_MZ670865_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-03-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670865	R-Mar-17-pT3-1	Osundahunsi et al.
R-Mar-17-pT3-2_MZ670866_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-03-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670866	R-Mar-17-pT3-2	Osundahunsi et al.
R-Mar-17-pT2-4_MZ670867_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-03-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670867	R-Mar-17-pT2-4	Osundahunsi et al.
R-Apr-17-m2-1_MZ670868_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-04-08	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670868	R-Apr-17-m2-1	Osundahunsi et al.
R-Apr-17-m2-2_MZ670869_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-04-08	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670869	R-Apr-17-m2-2	Osundahunsi et al.
R-Feb-17-pT4-1_MZ670870_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-02-06	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670870	R-Feb-17-pT4-1	Osundahunsi et al.
R-Mar-17-m2-3_MZ670871_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-03-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670871	R-Mar-17-m2-3	Osundahunsi et al.
R-Apr-17-m2-3_MZ670872_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-04-07	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670872	R-Apr-17-m2-3	Osundahunsi et al.
R-Mar-17-m2-4_MZ670873_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-03-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670873	R-Mar-17-m2-4	Osundahunsi et al.
R-Apr-17-pT2-3_MZ670874_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-04-08	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670874	R-Apr-17-pT2-3	Osundahunsi et al.
R-Sep-18-5-pT1_MZ670875_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670875	R-Sep-18-5-pT1	Osundahunsi et al.
R-Sep-18-5-pT10_MZ670876_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670876	R-Sep-18-5-pT10	Osundahunsi et al.
R-Sep-18-5-pT13_MZ670877_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670877	R-Sep-18-5-pT13	Osundahunsi et al.
R-Aug-18-5-pT1_MZ670878_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670878	R-Aug-18-5-pT1	Osundahunsi et al.
R-Aug-18-5-pT7_MZ670879_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670879	R-Aug-18-5-pT7	Osundahunsi et al.
R-Jul-18-5-pT1_MZ670880_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670880	R-Jul-18-5-pT1	Osundahunsi et al.
R-Jul-18-5-pT9_MZ670881_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670881	R-Jul-18-5-pT9	Osundahunsi et al.
R-Oct-18-5-pT3_MZ670882_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670882	R-Oct-18-5-pT3	Osundahunsi et al.
R-Oct-18-5-pT6_MZ670883_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670883	R-Oct-18-5-pT6	Osundahunsi et al.
R-Aug-18-5-pT11_MZ670884_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670884	R-Aug-18-5-pT11	Osundahunsi et al.
R-Oct-18-5-pT9_MZ670885_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670885	R-Oct-18-5-pT9	Osundahunsi et al.
R-Sep-18-5-pT7_MZ670886_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670886	R-Sep-18-5-pT7	Osundahunsi et al.
R-Sep-18-5-pT3_MZ670887_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670887	R-Sep-18-5-pT3	Osundahunsi et al.
R-Oct-18-5-pT7_MZ670888_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670888	R-Oct-18-5-pT7	Osundahunsi et al.
R-Aug-18-5-pT4_MZ670889_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670889	R-Aug-18-5-pT4	Osundahunsi et al.
R-Jul-18-5-pT12_MZ670890_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670890	R-Jul-18-5-pT12	Osundahunsi et al.
R-Aug-18-5-pT12_MZ670891_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-09	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670891	R-Aug-18-5-pT12	Osundahunsi et al.
R-Jul-18-5-pT11_MZ670892_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670892	R-Jul-18-5-pT11	Osundahunsi et al.
R-Aug-18-5-pT10_MZ670893_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-09	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670893	R-Aug-18-5-pT10	Osundahunsi et al.
R-Jul-18-5-pT8_MZ670894_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670894	R-Jul-18-5-pT8	Osundahunsi et al.
R-Jul-18-5-pT2_MZ670895_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670895	R-Jul-18-5-pT2	Osundahunsi et al.
R-Sep-18-5-pT5_MZ670896_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670896	R-Sep-18-5-pT5	Osundahunsi et al.
R-Jul-18-5-pT7_MZ670897_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670897	R-Jul-18-5-pT7	Osundahunsi et al.
R-Aug-18-5-pT2_MZ670898_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-09	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670898	R-Aug-18-5-pT2	Osundahunsi et al.
R-Sep-18-5-pT4_MZ670899_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670899	R-Sep-18-5-pT4	Osundahunsi et al.
R-Oct-18-5-pT1_MZ670900_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670900	R-Oct-18-5-pT1	Osundahunsi et al.
