strain	date	country	region	host	accession	isolates	authors
R-Aug-20-2-V1TB-1_MZ671012_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671012	R-Aug-20-2-V1TB-1	Osundahunsi et al.
R-Aug-20-2-V2TA-1_MZ671013_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671013	R-Aug-20-2-V2TA-1	Osundahunsi et al.
R-Aug-20-2-V1BA-1_MZ671014_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671014	R-Aug-20-2-V1BA-1	Osundahunsi et al.
R-Aug-20-2-V1TB-2_MZ671015_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671015	R-Aug-20-2-V1TB-2	Osundahunsi et al.
R-Aug-20-2-V1TC-1_MZ671016_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671016	R-Aug-20-2-V1TC-1	Osundahunsi et al.
R-Aug-20-2-V1TD-1_MZ671017_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671017	R-Aug-20-2-V1TD-1	Osundahunsi et al.
R-Aug-20-2-V1BB-1_MZ671018_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671018	R-Aug-20-2-V1BB-1	Osundahunsi et al.
R-Aug-20-2-V1BC-1_MZ671019_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671019	R-Aug-20-2-V1BC-1	Osundahunsi et al.
R-Aug-20-2-V1TA-1_MZ671020_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671020	R-Aug-20-2-V1TA-1	Osundahunsi et al.
G1_OQ677004_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-10-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OQ677004	G1	Festus et al.
G2_OQ677005_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-10-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OQ677005	G2	Festus et al.
G3_OQ677006_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-10-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OQ677006	G3	Festus et al.
G4_OQ677007_Dioscorea-alata_Ghana_2022	2022-10-XX	Ghana	Africa	Dioscorea alata	OQ677007	G4	Festus et al.
G5_OQ677008_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-10-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OQ677008	G5	Festus et al.
G6_OQ677009_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-10-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OQ677009	G6	Festus et al.
G7_OQ677010_Dioscorea-alata_Ghana_2022	2022-10-XX	Ghana	Africa	Dioscorea alata	OQ677010	G7	Festus et al.
G9_OQ677011_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-10-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OQ677011	G9	Festus et al.
