Name;Accession;Organism;collection_date;country;host;strain
EK-ILUSHI-1;MT542851.1;Yam mosaic virus;2017-02-24;Nigeria: Ekpe;Dioscorea cayenensis subsp. rotundata;EK-ILUSHI-1
EK-ILUSHI-2;MT542852.1;Yam mosaic virus;2017-02-25;Nigeria: Ekpe;Dioscorea cayenensis subsp. rotundata;EK-ILUSHI-2
EK-NTEJE-1;MT542853.1;Yam mosaic virus;2017-02-26;Nigeria: Ekpe;Dioscorea cayenensis subsp. rotundata;EK-NTEJE-1
ALU-ILUSHI-1;MT542854.1;Yam mosaic virus;2017-02-27;Nigeria: Alumaco;Dioscorea cayenensis subsp. rotundata;ALU-ILUSHI-1
ALU-ILUSHI-2;MT542855.1;Yam mosaic virus;2017-02-28;Nigeria: Alumaco;Dioscorea cayenensis subsp. rotundata;ALU-ILUSHI-2
ADK-NTEJE-1;MT542856.1;Yam mosaic virus;2017-03-01;Nigeria: Adaka;Dioscorea cayenensis subsp. rotundata;ADK-NTEJE-1
FAK-ZAKI-1;MT542857.1;Yam mosaic virus;2017-03-02;Nigeria: Faketsa;Dioscorea cayenensis subsp. rotundata;FAK-ZAKI-1
MAK-PAK-3;MT542858.1;Yam mosaic virus;2017-03-03;Nigeria: Makakusa;Dioscorea cayenensis subsp. rotundata;MAK-PAK-3
LAS-SARKI-3;MT542859.1;Yam mosaic virus;2017-03-04;Nigeria: Lasiri;Dioscorea cayenensis subsp. rotundata;LAS-SARKI-3
AL-AGYAGU-1;MT542860.1;Yam mosaic virus;2017-03-05;Nigeria: Aloshi;Dioscorea cayenensis subsp. rotundata;AL-AGYAGU-1
AL-AGYAGU-2;MT542861.1;Yam mosaic virus;2017-03-06;Nigeria: Aloshi;Dioscorea cayenensis subsp. rotundata;AL-AGYAGU-2
AME-GWADALAD-3;MT542862.1;Yam mosaic virus;2017-03-07;Nigeria: Ame;Dioscorea cayenensis subsp. rotundata;AME-GWADALAD-3
AME-GWADALAD-1;MT542863.1;Yam mosaic virus;2017-03-08;Nigeria: Ame;Dioscorea cayenensis subsp. rotundata;AME-GWADALAD-1
Hem-AGYAGU-1;MT542864.1;Yam mosaic virus;2017-03-09;Nigeria: Hembakwase;Dioscorea cayenensis subsp. rotundata;Hem-AGYAGU-1
ADK-nteje-2;MT553854.1;Yam mosaic virus;2017-03-10;Nigeria: Adaka;Dioscorea cayenensis subsp. rotundata;ADK-nteje-2
YMVAy;MT591036.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVAy
YMVBy;MT591037.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVBy
YMVCy;MT591038.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVCy
YMVDy;MT591039.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVDy
YMVFy;MT591040.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVFy
YMVGy;MT591041.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVGy
YMVHy;MT591042.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVHy
